Id,Message,Human,Prediction
938,pretty perfect heel height width elastic flexible strap happy grip lack grip sole sliding wood floor need something bit grip rubber sole,Neutral,negative
939,phone easy use best buy salesperson grafton store amazing find easy use camera set bluetooth expecially like using microphone text messages upgraded se perfect use phone,Positive,positive
940,got movie special got like digital copy well,Positive,neutral
941,ok place work temporary basis staff mostly friendly customers part kind cooperative pay minimum enough,Positive,neutral
942,wish could get money back trade another brand owned evga cards card gtx definitely underwhelmed despite promise flagship card sure price tier structure generation cards really seems like gpu market become massively inflated even independently mining community incited,Negative,neutral
943,boots nice wish inches taller though hit knee awkward look great someone shorter legs,Positive,neutral
944,bought ago someone macy recommended brand love product worth price high used product minutes ago white heads pimples formed chin left mask minutes took pimple dried shrunk leaving head pimple showing,Positive,neutral
945,makes deposits bill pay snap,Neutral,neutral
946,app screen load fully sometimes,Negative,negative
947,caught eye store like bling waist pocket fabric incredibly soft bought regular size found pants little snug legs waist fine admit though like pant legs tight legs little thicker legs slimmer like snug leg need size,Positive,neutral
948,works great really handy,Positive,positive
949,kept iphone forever loved finally decided take many pictures wanted better camera phone plus much mrs jacko love new iphone trade fir anything else best buy always great,Positive,positive
950,baker collection cake plates happens one favorites show baked goods dome top added bonus recommend product highly personal use also gift cake top,Positive,positive
951,walk around help whatever customer see matter department help train top run every department individuals get overtime long lunch others hardest part job keeping smile face know people racist documented true hard part walking around store entire shift,Neutral,neutral
952,great sale rep named victor everything plus get best deal possible first new car everyone helpful friendly honest recommending family friends dealership,Positive,positive
953,case nicely made holds cd problem able find cases stores except best buy glad bought case,Positive,positive
954,beautiful ring however dark diamonds diamonds look dark picture slightly white maaaayybe slight pinkish tone compared white diamonds however settings around diamonds darker maybe making stone appear dark picture purchased rings choose send back stunning even though diamonds chocolate colored regal still costly even sale wanted chocolate diamonds though hard send back solid gold ring hollowed back feels substantial cheap slides smoothly pretty,Positive,neutral
955,bath towels luxurious feel like ones get spa chocolate color deep holds well wash,Positive,neutral
956,bit hesitant buy best buy private label cords every bit good name brand would since purchased,Neutral,neutral
957,paying mortgage app face problem minimum field app shows last paid amount real amount amount app really nice apk thanks saving lot time depositing check transferring money payments last year almost stop using laptop see activity accounts switch completely apk many improvements made apk nice work believe bring many new convinient features future good luck chase mobile,Positive,neutral
958,hampton inn conveniently located right two highly trafficked roads fm yet quiet good location access various eating options around mall hard find initially mall complex turn willowbrook mall sears hotel along outer perimeter mall along restaurants businesses fm pleasant yet unusual surprises texas walk eating options around mall sharp traffic indoor vs outdoor pool st floor lobby minor happy surprises limited fruit breakfast options apples oranges bananas disappeared st day cut fruit cold drinking water unlike hampton inns said hot water coffee times usual,Neutral,neutral
959,ironman top movies mcu part great well watchable outstanding package deal thank bestbuy,Positive,positive
960,loose boxy sleeves long sure petite sizing nantucket wash ugly color well,Negative,negative
961,great place work professional flexible schedule global bank demanding work opportunity grow leader within firm enjoy working,Positive,positive
962,using purchasing product least five years best buy product user friendly guides tax preparation process cost product affordable would recommend product friends,Positive,positive
963,cleans pretty well filter catch well really quiet loud bothers easy use buttons nice large like clear hood able look load,Positive,neutral
964,top runs narrow medium looks like small like really snug fit work,Neutral,neutral
965,coat beautiful looks really well get size smaller usual love black color buttons great cost even better,Positive,positive
966,brand new husband researched knives ton prior registering registered expensive set one bought us fine expensive wedding decided would much rather nice set knives would use decided buy steak knife set separately could gone expensive set best value could find exactly knives wanted wanted santoku knife chef knife along pairing knives set knives actually use sharp great value thanks macy,Positive,positive
967,reasons,Neutral,neutral
968,bought one first see like loved bought rainyday perfect everyday use,Positive,neutral
969,went costco couple times get ink refills printer recognize ink costco actually messed refills even though save bucks refills buying original ink cartridge always better plus best buy price matches,Neutral,neutral
970,bad place work really although store manager wanted asset protection guys function door greeters instead actual job hired us,Neutral,neutral
971,purchased gift husband works loud outside environment issues hearing issues hearing anymore either love sweat resistant noise cancellation features definitely better big names tried best buy employee recommended,Positive,positive
972,mother surprised set waa amazing nicely fitted material felt great skin complimented skin tone able active style many even asked get outfit expecting orders already thanks set,Positive,positive
973,use product regular basis printer also best buy purchase excellent staff help,Positive,positive
974,shoes perfect skirts ankle pants dresses everything fit great comfortable first time wore yes buy,Positive,positive
975,like sheet crisp cool wrinkle free somewhat crisp cool definitely wrinkle free prefer charter club damask crisp cool wrinkle free,Positive,positive
976,love colors many choose fits well need one size larger normal,Positive,neutral
977,find anything macy prices affordable different brands available mention coupons available,Positive,neutral
978,love primer received part macy monthy beauty box decent size sample lasted weeks daily use little goes long way works great foundation downside pricey full retail,Positive,positive
979,dress worn outside shirt good shape length right suitable autumn,Neutral,neutral
980,okay movie purchased marvel collection,Neutral,neutral
981,like movie seeing movies compare marvel movies,Positive,neutral
982,somethinf weird way shirt fit big neck area think,Negative,neutral
983,excellent product buy recommend true size lastly material excellent product buy recommend true size lastly material,Positive,positive
984,tops perfect skirt bit lengthy wide hope alter bit awesome material stitching lining cloth soft fabric hurt inside skirt tops gud picture,Positive,positive
985,amazing bundle price love using pore fessional one really met expectations,Positive,positive
986,bought cable antenna want pay cable recommended best buy employee get channels,Neutral,neutral
987,enjoyed movie since theaters years ago walking store day happened upon steelbook love artwork feel unique piece art collection friends bit jealous ok case copy cooler thing change making poster board info sheet attached back easier remove also resized fit easily inside case perfect purchase,Positive,neutral
988,working best buy full time outlook negative outlook ceo approval disapproves ceo,Negative,neutral
989,like flavor yogurt gave four stars buy much yogurt compare brands affordable best buy limited choices local store would recommend like yogurt,Positive,positive
990,beautifull color runs short returned something different,Neutral,neutral
991,good earphone treble bass good balance bass good enough earphone expect woofer bass overall great product instead buying earphone every months would great budget earphone,Positive,positive
992,love karen scott clothes fit well true size,Positive,neutral
993,little vacuum works well use place picks things easily easy empty use times depending job empty,Positive,neutral
994,would give minus stars possible ordered products saturday delivery spent consecutive saturdays home waiting delivery still come even ring courier chase ended cancelling th failed delivery attempt went someone knows run business appalling customer service avoid like plague,Negative,negative
995,credit card investigation closed citi cards advised immediately close acct investigation,Neutral,neutral
996,comments available review,Neutral,neutral
997,absolutely love porefessionals primer makes makeup last forever completely blurs large pores also gives matte finish someone gets oily great product u,Positive,positive
998,working citi full time years advice management listen employees reacting harshly employees pillars reach us keep foundation steady,Neutral,neutral
999,love top received ton compliments,Positive,positive
